Nome da Variável,Descrição da Variável,Categoria
IN_SALA_ATENDIMENTO_ESPECIAL,Dependências físicas existentes e utilizadas na escola - Sala de Recursos Multifuncionais para Atendimento Educacional Especializado (AEE),"0 - Não
1 - Sim"
IN_TERREIRAO,"Dependências físicas existentes e utilizadas na escola - Terreirão (área para prática desportiva e recreação sem cobertura, sem piso e sem edificações)","0 - Não
1 - Sim"
IN_VIVEIRO,Dependências físicas existentes e utilizadas na escola -  Viveiro/criação de animais,"0 - Não
1 - Sim"
IN_DEPENDENCIAS_PNE,Dependências físicas existentes e utilizadas na escola - Dependências e vias adequadas a alunos com deficiência ou mobilidade reduzida,"0 - Não
1 - Sim"
IN_LAVANDERIA,Dependências físicas existentes e utilizadas na escola - Lavanderia,"0 - Não
1 - Sim"
IN_DEPENDENCIAS_OUTRAS,Dependências existentes na escola - Nenhuma das dependências relacionadas,"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_CORRIMAO,Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Corrimão e guarda corpos,"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_ELEVADOR,Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Elevador,"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_PISOS_TATEIS,Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Pisos táteis,"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_VAO_LIVRE,"Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Portas com vão livre de, no mínimo, 80 cm","0 - Não
1 - Sim"
IN_ACESSIBILIDADE_RAMPAS,Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Rampas,"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_SINAL_SONORO,Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Sinalização sonora,"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_SINAL_TATIL,Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Sinalização tátil (piso/paredes),"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_SINAL_VISUAL,Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Sinalização visual (piso/paredes),"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_INEXISTENTE,Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Nenhum dos recursos de acessibilidade listados,"0 - Não
1 - Sim"
IN_ACESSIBILIDADE_SINALIZACAO,Recursos de acessibilidade para pessoas com deficiência ou mobilidade reduzida nas vias de circulação interna na escola - Sinalização/alarme luminoso,"0 - Não
1 - Sim"
QT_SALAS_EXISTENTES,Número de salas de aula existentes na escola,
QT_SALAS_UTILIZADAS_DENTRO,Número de salas de aula utilizadas na escola - Dentro do prédio,
QT_SALAS_UTILIZADAS_FORA,Número de salas de aula utilizadas na escola - Fora do prédio,
QT_SALAS_UTILIZADAS,Número de salas de aula utilizadas na escola (dentro e fora do prédio),
QT_SALAS_UTILIZA_CLIMATIZADAS,Condições das salas de aula utilizadas na escola (dentro e fora do prédio escolar) - Número de salas de aula climatizadas,
