REGIAO,UF,DEPENDENCIA_ADM,LOUSA_DIGITAL,COMP_MESA,COMP_PORTATIL,TABLET,MATRICULAS,TOTAL_EQUIPAMENTOS,TIPO_ESCOLA,EQP_POR_ALUNO
Norte,RO,2,0.0,19,1,0,126,20.0,Pública,0.15873015873015872
Norte,RO,2,0.0,19,0,0,231,19.0,Pública,0.08225108225108226
Norte,RO,2,0.0,19,1,0,189,20.0,Pública,0.10582010582010581
Norte,RO,2,0.0,14,0,0,96,14.0,Pública,0.14583333333333334
Norte,RO,2,0.0,19,0,0,400,19.0,Pública,0.0475
Norte,RO,3,0.0,0,0,0,267,0.0,Pública,0.0
Norte,RO,3,0.0,0,0,0,127,0.0,Pública,0.0
Norte,RO,2,0.0,24,0,0,326,24.0,Pública,0.0736196319018405
Norte,RO,3,0.0,0,0,0,351,0.0,Pública,0.0
Norte,RO,2,1.0,19,5,0,520,25.0,Pública,0.04807692307692308
Norte,RO,3,0.0,2,0,0,273,2.0,Pública,0.007326007326007326
Norte,RO,2,0.0,25,1,2,246,28.0,Pública,0.11382113821138211
Norte,RO,3,0.0,15,0,0,447,15.0,Pública,0.03355704697986577
Norte,RO,2,0.0,30,22,0,377,52.0,Pública,0.13793103448275862
Norte,RO,2,0.0,23,4,0,454,27.0,Pública,0.05947136563876652
Norte,RO,2,1.0,46,3,0,222,50.0,Pública,0.22522522522522523
